CÃ³digo,DenominaciÃ³n,Nombre,Dependencia,Domicilio,Localidad,Municipio,Provincia,CÃ³d.Postal,TelÃ©fono,EnseÃ±anzas,Servicios,Biling
04000018,Colegio de Educación Infantil y Primaria,Joaquín Tena Sicilia,Público,Paseo San Segundo   7,Abla,Abla,Almería,04510,950359901,INF-PRI-SEC-EE,PAC,
04000021,Colegio de Educación Infantil y Primaria,Antonio Relaño,Público,C/ Balsillas  36,Abrucena,Abrucena,Almería,04520,950359902,INF-PRI-SEC-EE,PAC-TE,CBI
04602079,Colegio de Educación Infantil y Primaria,Abdera,Público,Cañ. de los Gallos  s/n,Adra,Adra,Almería,04770,950579887,INF-PRI-EE,PAC-PAM-PAE,CBI
04000092,Colegio de Educación Infantil y Primaria,Mare Nostrum,Público,C/ Estero  s/n,Adra,Adra,Almería,04770,950579579,INF-PRI-EE,PAM-PAE-TE,
04005399,Colegio de Educación Infantil y Primaria,Pedro Mena,Público,C/ Academia  2,Adra,Adra,Almería,04770,950579849,INF-PRI-EE,,CBI
04000080,Colegio de Educación Infantil y Primaria,San Fernando,Público,C/ Tarrasa  20,Adra,Adra,Almería,04770,950579877,INF-PRI-EE,PAM-PAE,CBI
04000079,Colegio de Educación Infantil y Primaria,San Nicolás,Público,C/ Zacatín  39,Adra,Adra,Almería,04770,950579833,INF-PRI-EE,PAC-PAM-PAE,
04005594,Colegio de Educación Infantil y Primaria,Arco Iris,Público,C/ Celindo  68,Aguadulce,Roquetas de Mar,Almería,04720,950156506,INF-PRI-EE,PAC-PAM-TE,CBI
04601646,Colegio de Educación Infantil y Primaria,Blas Infante,Público,C/ Jairán  1,Aguadulce,Roquetas de Mar,Almería,04720,950156887,INF-PRI-EE,PAC-PAM-PAE-TE,CBI
04602158,Colegio de Educación Infantil y Primaria,Francisco Sáiz Sanz,Público,C/ Sonora  76,Aguadulce,Roquetas de Mar,Almería,04720,950156957,INF-PRI-EE,PAC-PAM-PAE,
04004383,Colegio de Educación Infantil y Primaria,Torrequebrada,Público,C/ Costa Brava  s/n. Torrequebrada,Aguadulce,Roquetas de Mar,Almería,04721,950156626,INF-PRI-EE,PAC-PAM-PAE-TE,CBI
04003706,Colegio de Educación Infantil y Primaria,Trinidad Martínez,Público,C/ Arizona  29,Aguadulce,Roquetas de Mar,Almería,04720,950156756,INF-PRI-EE,PAC-PAM-PAE,
04006410,Colegio de Educación Infantil y Primaria,Virgilio Valdivia,Público,C/ Gran Canaria  s/n,Aguadulce,Roquetas de Mar,Almería,04720,671599958,INF-PRI-EE,PAC-PAM-PAE,CBI
04601981,Colegio Público Rural,Filabres,Público,C/ Almería  28,Albánchez,Albánchez,Almería,04857,950639579,INF-PRI-SEC,TE,
04008686,Colegio Público Rural,Azahar,Público,C/ Ruedos del Pueblo  s/n,Alboloduy,Alboloduy,Almería,04531,950156848,INF-PRI,PAE,
04000213,Colegio de Educación Infantil y Primaria,Velázquez,Público,C/ Buenavista  s/n,Albox,Albox,Almería,04800,950639913,INF-PRI-EE,PAC-PAM-PAE-TE,CBI
04000225,Colegio de Educación Infantil y Primaria,Virgen del Saliente,Público,Pago Aljara  s/n,Albox,Albox,Almería,04800,950639544,INF-PRI-EE,PAC-PAM-PAE-TE,CBI
04601993,Colegio Público Rural,Medio Almanzora II,Público,C/ Pago Aljara  s/n,Albox,Albox,Almería,04800,950639912,INF-PRI-EE,TE,
04602092,Colegio Público Rural,Alcolea-Fondón,Público,C/ Río de Alcolea  1,Alcolea,Alcolea,Almería,04480,950515542,INF-PRI,TE,
04000365,Colegio de Educación Infantil y Primaria,Juan XXIII,Público,C/ Calvario  1,Alhabia,Alhabia,Almería,04567,950156857,INF-PRI-SEC-EE,PAC-PAM-PAE-TE,CBI
04000377,Colegio de Educación Infantil y Primaria,Inmaculada Concepción,Público,C/ Alcalde Juan Martínez Rodríguez  s/n,Alhama de Almería,Alhama de Almería,Almería,04400,950156859,INF-PRI-EE,PAC-PAM-PAE-TE,CBI
04602109,Colegio de Educación Infantil y Primaria,Alicún-Huécija,Público,Ctra. de Alicún a Huécija,Alicún,Alicún,Almería,04409,950156898,INF-PRI-SEC,,
04005673,Colegio de Educación Infantil y Primaria,Adela Díaz,Público,C/ Padre Méndez  s/n,Almería,Almería,Almería,04006,950156206,INF-PRI-EE,PAC-PAM-PAE-TE,CBI
04601567,Colegio de Educación Infantil y Primaria,Alfredo Molina Martín,Público,C/ Fernando de Rojas  4,Almería,Almería,Almería,04008,950156272,INF-PRI-EE,PAC-PAM,
04001072,Colegio de Educación Infantil y Primaria,Ángel Suquía,Público,C/ Sierra de Bacares  1,Almería,Almería,Almería,04009,950156142,INF-PRI-EE,PAC,
04001229,Colegio de Educación Infantil y Primaria,Ave María del Diezmo,Público,C/ Carrera del Mami  110,Almería,Almería,Almería,04009,950156166,INF-PRI-EE,PAC-PAM-PAE-TE,
04000924,Colegio de Educación Infantil y Primaria,Ave María del Quemadero,Público,C/ Barranco Bolas  7,Almería,Almería,Almería,04008,950156132,INF-PRI-EE,PAC-PAM-PAE,
04005235,Colegio de Educación Infantil y Primaria,Colonia Araceli,Público,C/ Virgen de las Angustias  2,Almería,Almería,Almería,04009,950156201,INF-PRI-EE,PAC-PAM-PAE-TE,
04001308,Colegio de Educación Infantil y Primaria,El Puche,Público,Avda. Mare Nostrum  56,Almería,Almería,Almería,04009,950156175,INF-PRI-EE,PAC-PAE,
04000857,Colegio de Educación Infantil y Primaria,Europa José Ramos Santander,Público,Avda. Madre María Aznar  272,Almería,Almería,Almería,04009,950156697,INF-PRI-EE,PAC-PAM-PAE-TE,CBI
