CÃ³digo,DenominaciÃ³n,Nombre,Dependencia,Domicilio,Localidad,Municipio,Provincia,CÃ³d.Postal,TelÃ©fono,EnseÃ±anzas,Servicios,Biling
04000110,Instituto de Educación Secundaria,Abdera,Público,C/ Marisma  6,Adra,Adra,Almería,04770,950400711,SEC-BAC-CFGM-CFGS,PAE-TE,CBI
04000134,Instituto de Educación Secundaria,Gaviota,Público,C/ Estero  4,Adra,Adra,Almería,04770,950579614,SEC-BAC-CFGM-CFGS,TE,CBI
04700430,Instituto de Educación Secundaria,Virgen del Mar,Público,C/ Trigo  30,Adra,Adra,Almería,04770,950579800,SEC-CFGM-EE,PAE-TE,
04700260,Instituto de Educación Secundaria,Aguadulce,Público,C/ Alhambra  11,Aguadulce,Roquetas de Mar,Almería,04720,950156742,SEC-BAC-CFGM-EE-CFGS,PAC-TE,CBI
04700673,Instituto de Educación Secundaria,Carlos III,Público,Ctra. de los Motores  s/n. Bda. La Gloria,Aguadulce,Roquetas de Mar,Almería,04720,950156811,SEC-BAC-EE,PAC-TE,CBI
04006045,Instituto de Educación Secundaria,Mar Mediterráneo,Público,C/ Parcela 4-Sector 4º  junto a Palacios de Congresos,Aguadulce,Roquetas de Mar,Almería,04720,950156963,SEC-BAC-EE,TE,CBI
04000250,Instituto de Educación Secundaria,Cardenal Cisneros,Público,Avda. de América  s/n,Albox,Albox,Almería,04800,950639900,SEC-BAC-CFGM-CFGS,PAE-TE,CBF-CBI
04005284,Instituto de Educación Secundaria,Martín García Ramos,Público,Ctra. de la Estación  8,Albox,Albox,Almería,04800,697951168,SEC-BAC-CFGM-EE-CFGS,TE,CBI
04700259,Instituto de Educación Secundaria,Cerro Milano,Público,Ctra. Gador-Laujar  s/n,Alhama de Almería,Alhama de Almería,Almería,04400,950156736,SEC-BAC-EE,TE,CBI
04004620,Instituto de Educación Secundaria,Al-Ándalus,Público,Paseo de la Caridad  125. Finca Santa Isabel,Almería,Almería,Almería,04008,950156936,SEC-BAC-CFGM-EE-CFGS,TE,CBI
04005958,Instituto de Educación Secundaria,Albaida,Público,Ctra. de Níjar  s/n. Bda. Los Molinos,Almería,Almería,Almería,04009,950156290,SEC-BAC-CFGM-CFGS,,CBI
04004802,Instituto de Educación Secundaria,Alborán - Manuel Cáliz,Público,Avda. Padre Méndez  30,Almería,Almería,Almería,04006,950156559,SEC-BAC-EE,PAC-TE,CBF
04001163,Instituto de Educación Secundaria,Alhadra,Público,C/ de los Colegios  7,Almería,Almería,Almería,04009,950156930,SEC-BAC-CFGM-EE-CFGS,PAC-PAE-TE,CBI
