CÃ³digo,DenominaciÃ³n,Nombre,Dependencia,Domicilio,Localidad,Municipio,Provincia,CÃ³d.Postal,TelÃ©fono,EnseÃ±anzas,Servicios,Biling
11000010,Colegio de Educación Infantil y Primaria,Al-Kalat,Público,Avda. San Antonio  s/n,Alcalá de los Gazules,Alcalá de los Gazules,Cádiz,11180,956418500,INF-PRI-EE,PAC-PAM-PAE-TE,CBI
11000071,Colegio de Educación Infantil y Primaria,Maestro José Arenas Pulido,Público,Avda. de la Libertad  s/n,Alcalá del Valle,Alcalá del Valle,Cádiz,11693,956128636,INF-PRI-EE,PAC-PAE,
11007971,Colegio de Educación Infantil y Primaria,Manuel Portales Garrido,Público,C/ Lepanto  s/n,Alcalá del Valle,Alcalá del Valle,Cádiz,11693,671533623,INF-PRI-EE,PAC-PAE,
11000095,Colegio de Educación Infantil y Primaria,Sierra de Cádiz,Público,Avda. Diputación  s/n,Algar,Algar,Cádiz,11639,697952438,INF-PRI-EE,PAC-PAE,
11000502,Colegio de Educación Infantil y Primaria,Adalides,Público,C/ Adalides  s/n,Algeciras,Algeciras,Cádiz,11204,956670100,INF-PRI-EE,PAC-PAM-PAE-TE,
11000113,Colegio de Educación Infantil y Primaria,Alfonso XI,Público,Paseo Adaja  s/n. Bda. Piñera y Guadalmina,Algeciras,Algeciras,Cádiz,11206,956670700,INF-PRI-EE,PAC-PAM-PAE,CBI
11006863,Colegio de Educación Infantil y Primaria,Andalucía,Público,C/ Guadalquivir  s/n,Algeciras,Algeciras,Cádiz,11206,956670846,INF-PRI-EE,PAC-PAM-PAE,
11006516,Colegio de Educación Infantil y Primaria,Blanca de los Ríos,Público,Avda. Europa  s/n,Algeciras,Algeciras,Cádiz,11204,956670312,INF-PRI-EE,PAC-PAM-PAE,
11603282,Colegio de Educación Infantil y Primaria,Caetaria,Público,Avda. 28 Febrero  4 A,Algeciras,Algeciras,Cádiz,11207,956670789,INF-PRI-EE,PAC-PAM-PAE,
11603099,Colegio de Educación Infantil y Primaria,Campo de Gibraltar,Público,Avda. de la Caña  24 y 26,Algeciras,Algeciras,Cádiz,11203,956670833,INF-PRI-EE,PAC-PAM-PAE-TE,CBI
11000150,Colegio de Educación Infantil y Primaria,General Castaños,Público,Avda. Virgen de Europa  2,Algeciras,Algeciras,Cádiz,11201,956670709,INF-PRI-EE,PAC-PAM-PAE,CBI
11602630,Colegio de Educación Infantil y Primaria,Los Arcos,Público,Cañ. Los Tomates  1. Bda. El Cobre,Algeciras,Algeciras,Cádiz,11206,956670821,INF-PRI-EE,PAC-PAM-TE,CBI
11602964,Colegio de Educación Infantil y Primaria,Mediterráneo Don Luis Unciti Esparza,Público,Ctra. El Rinconcillo s/n,Algeciras,Algeciras,Cádiz,11205,670943321,INF-PRI-EE,PAC-PAM-PAE-TE,
11000393,Colegio de Educación Infantil y Primaria,Ntra. Sra. de Europa,Público,C/ Maestro Luis Cano Toba  s/n. Los  Pastores,Algeciras,Algeciras,Cádiz,11206,956670769,INF-PRI-EE,PAC-PAM-PAE-TE,CBI
11006243,Colegio de Educación Infantil y Primaria,Parque del Estrecho,Público,C/ Minerva  s/n,Algeciras,Algeciras,Cádiz,11207,956102599,INF-PRI-EE,PAC-PAM-PAE,
11000435,Colegio de Educación Infantil y Primaria,Puerta del Mar,Público,Ctra. Málaga. Urb. Parque Bolonia,Algeciras,Algeciras,Cádiz,11204,956670585,INF-PRI-EE,PAC-PAM-PAE,
11006887,Colegio de Educación Infantil y Primaria,San Bernardo,Público,C/ Millán Picazo  81,Algeciras,Algeciras,Cádiz,11204,956670201,INF-PRI-EE,PAC-PAM-PAE,
