CÃ³digo,DenominaciÃ³n,Nombre,Dependencia,Domicilio,Localidad,Municipio,Provincia,CÃ³d.Postal,TelÃ©fono,EnseÃ±anzas,Servicios,Biling
11700305,Instituto de Educación Secundaria,Pedro Sáinz de Andino,Público,Paseo de la Playa  19,Alcalá de los Gazules,Alcalá de los Gazules,Cádiz,11180,956418502,SEC-BAC-CFGM-EE,TE,CBI
11700470,Instituto de Educación Secundaria,Fuente Grande,Público,Avda. Blas Infante  s/n,Alcalá del Valle,Alcalá del Valle,Cádiz,11693,856588007,SEC-BAC-CFGM-EE-CFGS,PAC,
11701085,Instituto de Educación Secundaria,Baelo Claudia,Público,Urb. Parque Bolonia  s/n,Algeciras,Algeciras,Cádiz,11204,956652910,SEC-EE,PAC,
11000231,Instituto de Educación Secundaria,Bahía de Algeciras,Público,Avda. Holanda  s/n,Algeciras,Algeciras,Cádiz,11205,956670752,SEC-EE,,CBI
11001208,Instituto de Educación Secundaria,Ciudad de Algeciras,Público,C/ Juan Ramón Jiménez  s/n,Algeciras,Algeciras,Cádiz,11207,956670777,SEC-EE,PAE-TE,
11700342,Instituto de Educación Secundaria,El Getares,Público,Ctra. Getares  s/n. Urb. Villa Rosa,Algeciras,Algeciras,Cádiz,11207,956670823,SEC-BAC-CFGM-CFGS,,
11701103,Instituto de Educación Secundaria,Federico García Lorca,Público,C/ Fernando de Herrera  s/n,Algeciras,Algeciras,Cádiz,11207,956670806,SEC-CFGM-EE-CFGS,TE,CBF-CBI
11000368,Instituto de Educación Secundaria,Isla Verde,Público,Ctra. de Cádiz-Málaga  s/n,Algeciras,Algeciras,Cádiz,11203,956660970,SEC-BAC-CFGM-CFGS,PAC,
11000371,Instituto de Educación Secundaria,Kursaal,Público,Avda. Virgen de Europa  4,Algeciras,Algeciras,Cádiz,11201,956670767,SEC-BAC-CFGM-EE-CFGS,,CBI
11700913,Instituto de Educación Secundaria,Las Palomas,Público,C/ Adalides  s/n,Algeciras,Algeciras,Cádiz,11204,956670611,SEC-EE,TE,
11700135,Instituto de Educación Secundaria,Levante,Público,C/ Acebuchal Bajo  s/n,Algeciras,Algeciras,Cádiz,11205,956665115,SEC-BAC-CFGS,PAC,
11008446,Instituto de Educación Secundaria,Saladillo,Público,C/ Duque de Rivas  s/n,Algeciras,Algeciras,Cádiz,11207,956670813,SEC-BAC-CFGM-CFGS,TE,CBI
11008495,Instituto de Educación Secundaria,Torre Almirante,Público,Polígono del Rosario  s/n,Algeciras,Algeciras,Cádiz,11205,956655262,SEC-BAC-CFGM-CFGS,PAC-TE,
11000381,Instituto de Educación Secundaria,Ventura Morón,Público,Plaza Joaquín Ibáñez  3,Algeciras,Algeciras,Cádiz,11203,956663200,SEC-CFGM-CFGS,,CBI
11006668,Instituto de Educación Secundaria,Fuente Alta,Público,Avda. de Andalucía  67,Algodonales,Algodonales,Cádiz,11680,956128813,SEC-BAC-CFGM,PAC-TE,
11000711,Instituto de Educación Secundaria,Alminares,Público,Avda. de la Constitución  s/n,Arcos de la Frontera,Arcos de la Frontera,Cádiz,11630,956709910,SEC-BAC-CFGM-CFGS,,CBI
11700937,Instituto de Educación Secundaria,Guadalpeña,Público,C/ Francia  s/n,Arcos de la Frontera,Arcos de la Frontera,Cádiz,11630,956709993,SEC-BAC-CFGM-CFGS,PAE-TE,CBI
11009293,Instituto de Educación Secundaria,Los Cabezuelos,Público,C/ Los Cabezuelos  s/n,Arcos de la Frontera,Arcos de la Frontera,Cádiz,11630,956709538,SEC-EE,TE,
11000605,Instituto de Educación Secundaria,Torre del Tajo,Público,Bda. Jarillo  s/n,Barbate,Barbate,Cádiz,11160,956459509,SEC-BAC-CFGM-CFGS,TE,
11000824,Instituto de Educación Secundaria,Trafalgar,Público,C/ Madrid  4,Barbate,Barbate,Cádiz,11160,956459579,SEC-BAC-CFGM-CFGS,TE,CBI
11700949,Instituto de Educación Secundaria,Vicente Aleixandre,Público,Bda. El Pinar  s/n,Barbate,Barbate,Cádiz,11160,956459605,SEC-EE,,CBI
11700421,Instituto de Educación Secundaria,Casas Viejas,Público,Ctra. Vejer-Benalup  s/n,Benalup-Casas Viejas,Benalup-Casas Viejas,Cádiz,11190,956418931,SEC-BAC-CFGM-EE,TE,
11700755,Instituto de Educación Secundaria,El Convento,Público,Plaza de las Monjas  5,Bornos,Bornos,Cádiz,11640,956709827,SEC-BAC-CFGM-EE-CFGS,PAC-TE,
11001762,Instituto de Educación Secundaria,Columela,Público,C/ Barcelona  2,Cádiz,Cádiz,Cádiz,11006,956243233,SEC-BAC-CFGM-EE-CFGS,PAC,
11004556,Instituto de Educación Secundaria,Cornelio Balbo,Público,C/ Nuevo Mundo  s/n,Cádiz,Cádiz,Cádiz,11004,956243216,SEC-BAC-CFGM-EE-CFGS,PAC,CBI
11700299,Instituto de Educación Secundaria,Drago,Público,C/ Marianista Cubillo  15,Cádiz,Cádiz,Cádiz,11008,956243686,SEC-BAC-EE-CFGS,PAE,CBF
11008501,Instituto de Educación Secundaria,Fernando Aguilar Quignon,Público,C/ Conil de la Frontera  3,Cádiz,Cádiz,Cádiz,11010,956243308,SEC-BAC-CFGM-CFGS,,
11006486,Instituto de Educación Secundaria,Fuerte de Cortadura,Público,C/ Vía Augusta Julia  s/n,Cádiz,Cádiz,Cádiz,11011,956243411,SEC-BAC,PAC,CBI
11700287,Instituto de Educación Secundaria,La Caleta,Público,C/ Sagasta  107,Cádiz,Cádiz,Cádiz,11002,956243135,SEC-BAC,PAC,
11001828,Instituto de Educación Secundaria,Rafael Alberti,Público,C/ Amiel  s/n,Cádiz,Cádiz,Cádiz,11012,956243317,SEC-BAC-CFGM-CFGS,,CBI
11700688,Instituto de Educación Secundaria,San Severiano,Público,Avda. San Severiano  8,Cádiz,Cádiz,Cádiz,11007,956243270,SEC-BAC-CFGM-CFGS,PAC,CBI
11700950,Instituto de Educación Secundaria,Almoraima,Público,Avda. de las Adelfas  s/n,Castellar de la Frontera,Castellar de la Frontera,Cádiz,11350,956670199,SEC,TE,
11700354,Instituto de Educación Secundaria,Ciudad de Hércules,Público,C/ Cuba  2,Chiclana de la Frontera,Chiclana de la Frontera,Cádiz,11130,956243754,SEC-BAC-CFGM-EE-CFGS,PAC-TE,CBI
11700962,Instituto de Educación Secundaria,Fernando Quiñones,Público,C/ Pablo de Olavide  2,Chiclana de la Frontera,Chiclana de la Frontera,Cádiz,11130,956243910,SEC-BAC,PAE-TE,
11700123,Instituto de Educación Secundaria,Huerta del Rosario,Público,Callejón  de los Frailes  s/n,Chiclana de la Frontera,Chiclana de la Frontera,Cádiz,11130,956243986,SEC-BAC-EE-CFGS,PAC-TE,CBI
