CÃ³digo,DenominaciÃ³n,Nombre,Dependencia,Domicilio,Localidad,Municipio,Provincia,CÃ³d.Postal,TelÃ©fono,EnseÃ±anzas,Servicios,Biling
14000011,Colegio de Educación Infantil y Primaria,Sierra de Adamuz,Público,Paseo Antonio Gala  5,Adamuz,Adamuz,Córdoba,14430,957199524,INF-PRI-EE,PAC-PAM-PAE,
14000070,Colegio de Educación Infantil y Primaria,Alonso de Aguilar,Público,C/ Alonso de Aguilar  60,Aguilar de la Frontera,Aguilar de la Frontera,Córdoba,14920,957699641,INF-PRI-EE,PAC-PAM-PAE,
14000094,Colegio de Educación Infantil y Primaria,Carmen Romero,Público,Ctra. Puente Genil  s/n,Aguilar de la Frontera,Aguilar de la Frontera,Córdoba,14920,957699574,INF-PRI-EE,PAC-PAM-PAE,CBI
14000082,Colegio de Educación Infantil y Primaria,Doña María Coronel,Público,C/ El Tejar  14,Aguilar de la Frontera,Aguilar de la Frontera,Córdoba,14920,957699939,INF-PRI-EE,PAC-PAM-PAE,CBI
14008081,Colegio de Educación Infantil y Primaria,Guillermo Romero Fernández,Público,Ctra. Aeropuerto  Km.4,Alameda del Obispo,Córdoba,Córdoba,14005,957734541,INF-PRI-SEC-EE,PAE-TE,
14000367,Colegio de Educación Infantil y Primaria,Santa María de Albendín,Público,C/ Maestro Antonio Herenas  s/n,Albendín,Baena,Córdoba,14859,957699647,INF-PRI-SEC-EE,PAC-PAM-PAE,
14000151,Colegio de Educación Infantil y Primaria,Ntra. Sra. de Guía,Público,C/ Extramuros  s/n,Alcaracejos,Alcaracejos,Córdoba,14480,957139650,INF-PRI-SEC-EE,PAC,
14007738,Colegio de Educación Infantil y Primaria,Joaquín Tena Artigas,Público,Ctra. de Madrid  s/n,Alcolea,Córdoba,Córdoba,14610,957379922,INF-PRI-EE,PAC-PAM-PAE-TE,CBI
14007532,Colegio de Educación Infantil y Primaria,Los Ángeles,Público,C/ Francia  s/n,Alcolea,Córdoba,Córdoba,14015,957379600,INF-PRI-EE,PAC-PAM-PAE,CBI
14003851,Colegio de Educación Infantil y Primaria,Blas Infante,Público,Avda. del Parque  17,Aldea de Fuente Carreteros,Fuente Carreteros,Córdoba,14110,957719907,INF-PRI-SEC-EE,PAC-PAE,
14000069,Colegio de Educación Infantil y Primaria,Fray Albino,Público,C/ Fray Albino  2,Algallarín,Adamuz,Córdoba,14439,957199528,INF-PRI,PAC,CBF
14000185,Colegio de Educación Infantil y Primaria,Rodríguez Vega,Público,Paseo de Las Moreras  s/n,Almedinilla,Almedinilla,Córdoba,14812,957559926,INF-PRI-SEC-EE,PAC-TE,CBI
14000288,Colegio de Educación Infantil y Primaria,Luis de Góngora,Público,C/ Luis de Góngora  s/n,Almodóvar del Río,Almodóvar del Río,Córdoba,14720,957719500,INF-PRI-EE,PAC-PAM-PAE-TE,
