Código,Denominación,Nombre,Dependencia,Domicilio,Localidad,Municipio,Provincia,Cód.Postal,Teléfono,Enseñanzas,Servicios,Biling
14700471,Instituto de Educación Secundaria,Luna de la Sierra,Público,C/ Luis Vélez de Guevara  s/n,Adamuz,Adamuz,Córdoba,14430,957199555,SEC,PAC-TE,
14002029,Instituto de Educación Secundaria,Ipagro,Público,C/ Padre Oblatos  s/n,Aguilar de la Frontera,Aguilar de la Frontera,Córdoba,14920,671530234,SEC-EE,,CBI
14700390,Instituto de Educación Secundaria,Vicente Néz,Público,C/ Fray Luis de León  2,Aguilar de la Frontera,Aguilar de la Frontera,Córdoba,14920,957699631,SEC-BAC-CFGM,PAE-TE,
14700481,Instituto de Educación Secundaria,Puente de Alcolea,Público,C/ Capricho  s/n,Alcolea,Córdoba,Córdoba,14610,671533201,SEC-CFGM-EE,TE,CBI
14008068,Instituto de Educación Secundaria,Crbula,Público,C/ Alcalde Manuel Alba  2,Almodóvar del Ró,Almodóvar del Ró,Córdoba,14720,957719900,SEC-BAC-CFGM-EE,TE,
14000483,Instituto de Educación Secundaria,Luis Carrillo de Sotomayor,Público,Avda. San Carlos de Chile  s/n,Baena,Baena,Córdoba,14850,957699579,SEC-BAC-CFGM-EE-CFGS,PAE-TE,CBI
14700729,Instituto de Educación Secundaria,Juan de Soto Alvarado,Público,C/ Menéndez Pelayo  s/n,Belalcázar,Belalcázar,Córdoba,14280,957149928,SEC,,
14700493,Instituto de Educación Secundaria,José Alcántara,Público,Plaza del Maestro  s/n,Belmez,Belmez,Córdoba,14240,957579912,SEC-EE,PAE-TE,
14700501,Instituto de Educación Secundaria,Don Diego de Bernuy,Público,C/ Huelva  s/n,Benamej,Benamej,Córdoba,14910,957596582,SEC-BAC-CFGM-EE,TE,
14000689,Instituto de Educación Secundaria,Mario López,Público,C/ Consolación  4,Bujalance,Bujalance,Córdoba,14650,957199531,SEC-BAC-CFGM-EE,TE,
14000847,Instituto de Educación Secundaria,Aguilar y Eslava,Público,Plaza de Aguilar y Eslava  s/n,Cabra,Cabra,Córdoba,14940,957596930,SEC-BAC-CFGM-CFGS,,CBI
14000501,Instituto de Educación Secundaria,Dionisio Alcalá Galiano,Público,C/ Escultor Antonio Maiz Castro  s/n,Cabra,Cabra,Córdoba,14940,957596601,SEC,PAE,CBI
14000835,Instituto de Educación Secundaria,Felipe Solás Villechenous,Público,Avda. Fuente del Ró  15,Cabra,Cabra,Córdoba,14940,957596928,SEC-BAC-CFGM-EE-CFGS,PAC-PAE-TE,CBI
