CÃ³digo,DenominaciÃ³n,Nombre,Dependencia,Domicilio,Localidad,Municipio,Provincia,CÃ³d.Postal,TelÃ©fono,EnseÃ±anzas,Servicios,Biling
18601001,Colegio de Educación Infantil y Primaria,Abadía,Público,C/ Abadía  36,Albolote,Albolote,Granada,18220,958893614,INF-PRI-EE,PAC-PAM-PAE-TE,CBI
18000052,Colegio de Educación Infantil y Primaria,Tínar,Público,C/ Tínar  s/n,Albolote,Albolote,Granada,18220,958893984,INF-PRI-EE,PAC-PAM-PAE,CBI
18000088,Colegio de Educación Infantil y Primaria,Infanta Cristina,Público,C/ Sagasta  s/n,Albondón,Albondón,Granada,18708,958654921,INF-PRI-EE,TE,
18000155,Colegio de Educación Infantil y Primaria,Natalio Rivas,Público,Ctra. del Visillo  8,Albuñol,Albuñol,Granada,18700,958649574,INF-PRI-EE,PAC-PAM-PAE,
18000271,Colegio de Educación Infantil y Primaria,Ramón y Cajal,Público,C/ Carretera  16,Albuñuelas,Albuñuelas,Granada,18659,958779532,INF-PRI-SEC-EE,,
18000337,Colegio Público Rural,Zalabí,Público,C/ de las Cruces  27,Alcudia de Guadix,Valle del Zalabí,Granada,18511,958699705,INF-PRI-EE,,CBI
18601795,Colegio de Educación Infantil y Primaria,Alfaguarilla,Público,C/ Álamos  21,Alfacar,Alfacar,Granada,18170,958893326,INF-PRI-EE,PAC-PAM-PAE,CBI
18000313,Colegio de Educación Infantil y Primaria,Las Encinas,Público,Urb. Las Encinas  s/n,Alfacar,Alfacar,Granada,18170,958543352,INF-PRI-EE,PAC-PAM-PAE,CBI
18000325,Colegio de Educación Infantil y Primaria,Andrés Manjón,Público,C/ Pedro Peña Letón  nº 4,Algarinejo,Algarinejo,Granada,18280,958338606,INF-PRI-SEC-EE,PAC-PAM-TE,
18000374,Colegio de Educación Infantil y Primaria,Cervantes,Público,C/ Cuba  37,Alhama de Granada,Alhama de Granada,Granada,18120,958369901,INF-PRI-EE,PAC-PAM-PAE-TE,CBI
18000362,Colegio de Educación Infantil y Primaria,Conde de Tendilla,Público,C/ Conde de Tendilla,Alhama de Granada,Alhama de Granada,Granada,18120,958369532,INF-PRI-EE,PAC-PAM-PAE,CBI
