CÃ³digo,DenominaciÃ³n,Nombre,Dependencia,Domicilio,Localidad,Municipio,Provincia,CÃ³d.Postal,TelÃ©fono,EnseÃ±anzas,Servicios,Biling
18000039,Instituto de Educación Secundaria,Aricel,Público,C/ Aricel  s/n,Albolote,Albolote,Granada,18220,958893976,SEC-BAC-CFGM,TE,CBF-CBI
18700347,Instituto de Educación Secundaria,La Contraviesa,Público,C/ Instituto  s/n,Albuñol,Albuñol,Granada,18700,958649706,SEC-BAC-EE,TE,
18000738,Instituto de Educación Secundaria,Al-Fakar,Público,Avda. García Lorca  s/n,Alfacar,Alfacar,Granada,18170,958893962,SEC,TE,CBI
18700451,Instituto de Educación Secundaria,Alhama,Público,Ctra. de Loja  s/n,Alhama de Granada,Alhama de Granada,Granada,18120,958369534,SEC-BAC-CFGM-EE,TE,CBI
18000842,Instituto de Educación Secundaria,Alhendín,Público,C/ Real  s/n,Alhendín,Alhendín,Granada,18620,958893900,SEC-BAC,PAC-TE,CBI
18700463,Instituto de Educación Secundaria,Al-Ándalus,Público,C/ Federico García Lorca  3,Almuñécar,Almuñécar,Granada,18690,958649918,SEC-BAC-CFGM-EE,PAC-TE,CBI
18000601,Instituto de Educación Secundaria,Antigua Sexi,Público,C/ Lo Colorado  s/n,Almuñécar,Almuñécar,Granada,18690,958649590,SEC-BAC-CFGM-CFGS,PAC-TE,CBI
18700499,Instituto de Educación Secundaria,Puerta del Mar,Público,C/ Hurtado de Mendoza  s/n,Almuñécar,Almuñécar,Granada,18690,958649591,SEC-BAC-EE,TE,CBI
18700736,Instituto de Educación Secundaria,Marquesado del Zenete,Público,C/ Hubert Meermans  s/n,Alquife,Alquife,Granada,18518,958699974,SEC,PAC-TE,
18700232,Instituto de Educación Secundaria,Alba Longa,Público,C/ San Miguel  s/n,Armilla,Armilla,Granada,18100,958893650,SEC-BAC-CFGM-EE,TE,CBI
18000787,Instituto de Educación Secundaria,Luis Bueno Crespo,Público,Avda. de Las Palmeras  s/n,Armilla,Armilla,Granada,18100,958893739,SEC-BAC-CFGM-CFGS,PAE-TE,CBI
18000908,Instituto de Educación Secundaria,Iliberis,Público,Avda. Andalucía  84,Atarfe,Atarfe,Granada,18230,958893993,SEC-BAC-CFGM-EE-CFGS,TE,CBI
