CÃ³digo,DenominaciÃ³n,Nombre,Dependencia,Domicilio,Localidad,Municipio,Provincia,CÃ³d.Postal,TelÃ©fono,EnseÃ±anzas,Servicios,Biling
21600911,Colegio Público Rural,Tresfuentes,Público,Ctra. de Fuenteheridos  s/n,Alájar,Alájar,Huelva,21340,959129652,INF-PRI-SEC-EE,TE,CBI
21000024,Colegio de Educación Infantil y Primaria,Antonio Guerrero,Público,C/ Santander  s/n,Aljaraque,Aljaraque,Huelva,21110,959524923,INF-PRI-EE,PAC-PAM-PAE-TE,
21002963,Colegio de Educación Infantil y Primaria,Pura Domínguez,Público,Avda. de las Camelias  s/n,Aljaraque,Aljaraque,Huelva,21110,959524414,INF-PRI-EE,PAC-PAM-PAE,
21000085,Colegio de Educación Infantil y Primaria,Virgen de Gracia,Público,Ctra. de Sevilla  17,Almonaster la Real,Almonaster la Real,Huelva,21350,959149577,INF-PRI-SEC-EE,PAC-PAE-TE,
21601007,Colegio de Educación Infantil y Primaria,El Lince,Público,C/ Paterna  s/n,Almonte,Almonte,Huelva,21730,959439706,INF-PRI-EE,PAM-PAE,CBI
21003566,Colegio de Educación Infantil y Primaria,Los Llanos,Público,Cmo. de los Llanos  10,Almonte,Almonte,Huelva,21730,959439934,INF-PRI-EE,PAC-PAM-PAE,
21600842,Colegio de Educación Infantil y Primaria,Los Taranjales,Público,C/ Pastorcitos  s/n,Almonte,Almonte,Huelva,21730,959439702,INF-PRI-EE,PAC-PAE-TE,
21000191,Colegio de Educación Infantil y Primaria,Ntra. Sra. del Rocío,Público,C/ Pino Gordo  s/n,Almonte,Almonte,Huelva,21730,959439709,INF-PRI-EE,PAC-PAM-TE,
21000188,Colegio de Educación Primaria,Lope de Vega,Público,C/ Alonsario  2,Almonte,Almonte,Huelva,21730,959439919,PRI-EE,PAM,CBI
21000309,Colegio de Educación Infantil y Primaria,Ntra. Sra. de Gracia,Público,C/ Real  140,Alosno,Alosno,Huelva,21520,959489907,INF-PRI-EE,PAC,CBI
21000334,Colegio de Educación Primaria,José Nogales,Público,Plaza Doña Elvira Embid  s/n,Aracena,Aracena,Huelva,21200,600168449,PRI-EE,PAC-PAM-PAE-TE,CBI
21000437,Colegio de Educación Infantil y Primaria,José Romero Macías,Público,Ctra. del Mustio  s/n,Aroche,Aroche,Huelva,21240,959149902,INF-PRI-EE,PAC,
21000462,Colegio de Educación Infantil y Primaria,Virgen de los Remedios,Público,C/ Alta  s/n,Arroyomolinos de León,Arroyomolinos de León,Huelva,21280,959199524,INF-PRI-SEC-EE,,
21000516,Colegio de Educación Infantil y Primaria,Galdames,Público,C/ Galdames  102-Bis,Ayamonte,Ayamonte,Huelva,21400,959349625,INF-PRI-EE,PAC-PAE,
