CÃ³digo,DenominaciÃ³n,Nombre,Dependencia,Domicilio,Localidad,Municipio,Provincia,CÃ³d.Postal,TelÃ©fono,EnseÃ±anzas,Servicios,Biling
21700526,Instituto de Educación Secundaria,Fuente Juncal,Público,C/ Clavel  s/n,Aljaraque,Aljaraque,Huelva,21110,959524912,SEC-BAC-CFGM-EE,PAC-PAE,
21700654,Instituto de Educación Secundaria,Doñana,Público,Avda. de la Juventud  s/n,Almonte,Almonte,Huelva,21730,959439951,SEC-BAC-CFGM-EE-CFGS,TE,CBI
21700642,Instituto de Educación Secundaria,La Ribera,Público,Avda. Che Guevara  s/n,Almonte,Almonte,Huelva,21730,959439970,SEC,TE,CBI
21000310,Instituto de Educación Secundaria,La Alborá,Público,Avda. Pedro Carrasco  s/n,Alosno,Alosno,Huelva,21520,600164276,SEC-BAC,TE,CBI
21700381,Instituto de Educación Secundaria,San Blas,Público,Plaza Doña Elvira Embid  s/n,Aracena,Aracena,Huelva,21200,959126235,SEC-BAC-CFGM-EE-CFGS,PAE-TE,CBI
21700538,Instituto de Educación Secundaria,Turóbriga,Público,C/ Miguel Henández  s/n,Aroche,Aroche,Huelva,21240,671536624,SEC,TE,
21700496,Instituto de Educación Secundaria,González de Aguilar,Público,C/ Los Álamos  s/n,Ayamonte,Ayamonte,Huelva,21400,959349910,SEC,TE,
21700502,Instituto de Educación Secundaria,Guadiana,Público,C/ Doctor Severo Ochoa  s/n,Ayamonte,Ayamonte,Huelva,21400,959349932,SEC-BAC-CFGM-EE-CFGS,TE,CBI
21700541,Instituto de Educación Secundaria,La Campiña,Público,C/ C/ Maestro D.Antonio Pérez Ruiz s/n,Beas,Beas,Huelva,21630,959524964,SEC,PAC-TE,
21000693,Instituto de Educación Secundaria,Delgado Hernández,Público,C/ Dalí  1,Bollullos Par del Condado,Bollullos Par del Condado,Huelva,21710,959439921,SEC-BAC-CFGM-CFGS,PAC-TE,CBI
21700423,Instituto de Educación Secundaria,San Antonio,Público,C/ El Pendique  s/n,Bollullos Par del Condado,Bollullos Par del Condado,Huelva,21710,959439941,SEC-EE,,CBI
21700061,Instituto de Educación Secundaria,Catedrático Pulido Rubio,Público,C/ Consejero Montaner  s/n,Bonares,Bonares,Huelva,21830,959524550,SEC-BAC-CFGM,TE,CBI
21003323,Instituto de Educación Secundaria,Diego Macías,Público,C/ Extramuros  s/n,Calañas,Calañas,Huelva,21300,671535362,SEC-BAC-CFGM,TE,
21700435,Instituto de Educación Secundaria,Mapi Valle,Público,C/ Miguel Ángel  s/n,Cartaya,Cartaya,Huelva,21450,959489555,SEC-EE,TE,CBI
21000899,Instituto de Educación Secundaria,Rafael Reyes,Público,Ctra. Huelva-Ayamonte  s/n,Cartaya,Cartaya,Huelva,21450,959489649,SEC-BAC-CFGM-EE-CFGS,TE,CBI
