CÃ³digo,DenominaciÃ³n,Nombre,Dependencia,Domicilio,Localidad,Municipio,Provincia,CÃ³d.Postal,TelÃ©fono,EnseÃ±anzas,Servicios,Biling
23000015,Colegio de Educación Infantil y Primaria,Fernando Molina,Público,C/ Juan XXIII  8,Albanchez de Mágina,Albanchez de Mágina,Jaén,23538,953366133,INF-PRI-SEC-EE,PAC-PAE,
23000118,Colegio de Educación Infantil y Primaria,Alonso de Alcalá,Público,Ctra. de Granada  s/n,Alcalá la Real,Alcalá la Real,Jaén,23680,953599569,INF-PRI-EE,PAC-PAM-PAE,CBI
23000076,Colegio de Educación Infantil y Primaria,José Garnica Salazar,Público,Psje. del Coto 18-Apart.De correos  5,Alcalá la Real,Alcalá la Real,Jaén,23680,671535601,INF-PRI-EE,PAC-PAM-PAE-TE,
23601230,Colegio Público Rural,El Olivo,Público,C/ San Roque  s/n,Alcalá la Real,Alcalá la Real,Jaén,23686,953599593,INF-PRI-EE,PAC-PAE-TE,
23000283,Colegio de Educación Infantil y Primaria,Virgen del Carmen,Público,Ctra. de Córdoba  77,Alcaudete,Alcaudete,Jaén,23660,953366878,INF-PRI-EE,PAC-PAM,
23000295,Colegio de Educación Primaria,Juan Pedro,Público,C/ Almendro 26.,Alcaudete,Alcaudete,Jaén,23660,953366719,PRI-EE,PAC-PAE,CBI
23005530,Colegio de Educación Primaria,Rafael Aldehuela,Público,C/ Rafael Aldehuela  14,Alcaudete,Alcaudete,Jaén,23660,953366601,PRI-EE,PAC,CBI
23003211,Colegio de Educación Infantil y Primaria,San Gabriel,Público,C/ José María Pemán  s/n,Aldeahermosa,Montizón,Jaén,23267,953409912,INF-PRI-SEC-EE,,
23000362,Colegio de Educación Infantil y Primaria,San Miguel,Público,C/ Mesón  32,Aldeaquemada,Aldeaquemada,Jaén,23215,953609750,INF-PRI-SEC-EE,,
23000453,Colegio de Educación Infantil y Primaria,Capitán Cortés,Público,Plaza de España  2,Andújar,Andújar,Jaén,23740,953500398,INF-PRI-EE,PAC-PAM-PAE,
23000490,Colegio de Educación Infantil y Primaria,Cristo Rey,Público,C/ Accesoria de Cristo Rey  s/n,Andújar,Andújar,Jaén,23740,953539994,INF-PRI-EE,PAC-PAM-PAE,CBI
23005177,Colegio de Educación Infantil y Primaria,Félix Rodríguez de la Fuente,Público,Avda. 28 de Febrero  s/n,Andújar,Andújar,Jaén,23740,953539707,INF-PRI-EE,TE,
23004941,Colegio de Educación Infantil y Primaria,Francisco Estepa Llaurens,Público,C/ Ortega y Gasset  3,Andújar,Andújar,Jaén,23740,953539532,INF-PRI-EE,PAC-PAM-PAE,
23000477,Colegio de Educación Infantil y Primaria,Isidoro Vilaplana,Público,Ronda Mestanza  s/n,Andújar,Andújar,Jaén,23740,953515135,INF-PRI-EE,PAC-PAM-PAE-TE,
23000489,Colegio de Educación Infantil y Primaria,José Ruiz de Gordoa,Público,C/ Hernán Cortés  s/n,Andújar,Andújar,Jaén,23740,953539520,INF-PRI-EE,PAE,CBI
23000465,Colegio de Educación Infantil y Primaria,San Bartolomé,Público,C/ Isaac Peral  2,Andújar,Andújar,Jaén,23740,671597513,INF-PRI-EE,PAC,CBI
23000507,Colegio de Educación Infantil y Primaria,San Eufrasio,Público,C/ Rvda. Madre Marta  30,Andújar,Andújar,Jaén,23740,953501887,INF-PRI-EE,PAC-PAE,
23001147,Colegio de Educación Infantil y Primaria,Gregorio Aguilar,Público,Avda. Andalucía  17,Arbuniel,Cambil,Jaén,23193,953366454,INF-PRI-EE,PAE,CBI
23000696,Colegio de Educación Infantil y Primaria,San Bonoso y San Maximiano,Público,C/ San Nicasio  s/n,Arjona,Arjona,Jaén,23760,953539585,INF-PRI-EE,PAC-PAM,
23000726,Colegio de Educación Infantil y Primaria,García Morente,Público,C/ García Lorca  s/n,Arjonilla,Arjonilla,Jaén,23750,953539540,INF-PRI-EE,,
23009501,Colegio Público Rural,Puerta del Condado,Público,C/ Juan Ramón Jiménez  s/n,Arquillos,Arquillos,Jaén,23230,953609929,INF-PRI-SEC-EE,PAC-PAM-PAE,CBI
23005128,Colegio de Educación Infantil y Primaria,Francisco Vílchez,Público,Avda. Ajozar  s/n,Arroyo del Ojanco,Arroyo del Ojanco,Jaén,23340,953429914,INF-PRI-EE,PAC-TE,
23000805,Colegio de Educación Infantil y Primaria,Ángel López Salazar,Público,C/ Federico García Lorca  2,Baeza,Baeza,Jaén,23440,953779900,INF-PRI-EE,PAC-PAM,CBI
23000799,Colegio de Educación Infantil y Primaria,Antonio Machado,Público,C/ San Miguel de los Santos  1,Baeza,Baeza,Jaén,23440,953779914,INF-PRI-EE,PAC-PAM-PAE-TE,CBI
23000787,Colegio de Educación Infantil y Primaria,San Juan de la Cruz,Público,Avda. Alcalde Puche Pardo 2.,Baeza,Baeza,Jaén,23440,953779515,INF-PRI-EE,PAC-PAM-PAE,CBI
23000921,Colegio de Educación Infantil y Primaria,Diecinueve de Julio,Público,C/ 19 de Julio  123,Bailén,Bailén,Jaén,23710,953609546,INF-PRI-EE,PAC-PAM-PAE,CBI
23005748,Colegio de Educación Infantil y Primaria,Ntra. Sra. de Zocueca,Público,C/ Pablo Picasso  22,Bailén,Bailén,Jaén,23710,953609919,INF-PRI-EE,PAC-PAM-PAE,CBI
23000911,Colegio de Educación Infantil y Primaria,Pedro Corchado,Público,C/ Juan Ramón Jiménez  2,Bailén,Bailén,Jaén,23710,953609921,INF-PRI-EE,PAC-PAM-PAE,
23000039,Colegio de Educación Primaria,General Castaños,Público,C/ Francisco Tomás y Valiente  s/n,Bailén,Bailén,Jaén,23710,953609926,PRI-EE,PAC-PAM-PAE,CBI
23000945,Colegio de Educación Infantil y Primaria,Nuestro Padre Jesús del Llano,Público,C/ Rumblar  s/n,Baños de la Encina,Baños de la Encina,Jaén,23711,953609585,INF-PRI-EE,PAC-PAE,
23000982,Colegio de Educación Primaria,Víctor García Hoz,Público,C/ Santa Teresa  s/n,Beas de Segura,Beas de Segura,Jaén,23280,671566612,PRI-EE,PAC-PAM-PAE-TE,
