CÃ³digo,DenominaciÃ³n,Nombre,Dependencia,Domicilio,Localidad,Municipio,Provincia,CÃ³d.Postal,TelÃ©fono,EnseÃ±anzas,Servicios,Biling
23000106,Instituto de Educación Secundaria,Alfonso XI,Público,C/ Maestro Pascual Baca  2,Alcalá la Real,Alcalá la Real,Jaén,23680,953599534,SEC-BAC-CFGM-CFGS,TE,
23700542,Instituto de Educación Secundaria,Antonio de Mendoza,Público,Psje. del Coto  16,Alcalá la Real,Alcalá la Real,Jaén,23680,953599504,SEC-CFGM-EE,PAC-TE,CBI
23000246,Instituto de Educación Secundaria,Salvador Serrano,Público,Parque Parque de la Fuensanta  2,Alcaudete,Alcaudete,Jaén,23660,953366963,SEC-BAC-CFGM-EE-CFGS,PAE-TE,CBI
23005694,Instituto de Educación Secundaria,Jándula,Público,Ctra. de los Villares  s/n,Andújar,Andújar,Jaén,23740,953539508,SEC-BAC-CFGM-CFGS,TE,CBI
23000556,Instituto de Educación Secundaria,Nuestra Señora de la Cabeza,Público,C/ Argimiro Rodríguez Álvarez  s/n,Andújar,Andújar,Jaén,23740,953539525,SEC-BAC-CFGM-CFGS,TE,CBI
23000131,Instituto de Educación Secundaria,Sierra Morena,Público,C/ Blas Infante  s/n,Andújar,Andújar,Jaén,23740,953539567,SEC-CFGM-EE,,CBI
23000261,Instituto de Educación Secundaria,Ciudad de Arjona,Público,C/ San Nicasio  s/n,Arjona,Arjona,Jaén,23760,953539588,SEC-BAC-CFGM-EE,TE,
23700591,Instituto de Educación Secundaria,Juan del Villar,Público,Avda. de Madrid  3,Arjonilla,Arjonilla,Jaén,23750,953539550,SEC-EE,,
23700608,Instituto de Educación Secundaria,Fuentebuena,Público,C/ Ajozar  s/n,Arroyo del Ojanco,Arroyo del Ojanco,Jaén,23340,953429610,SEC-EE,PAC-TE,
23000830,Instituto de Educación Secundaria,Andrés de Vandelvira,Público,C/ Garnica  3,Baeza,Baeza,Jaén,23440,953779908,SEC-BAC-CFGM-EE-CFGS,TE,CBI
23000817,Instituto de Educación Secundaria,Santísima Trinidad,Público,C/ Juan de Ávila  2,Baeza,Baeza,Jaén,23440,953779522,SEC-BAC-CFGM-CFGS,PAE-TE,CBI
23000143,Instituto de Educación Secundaria,Hermanos Medina Rivilla,Público,C/ Historiador Rus de la Puerta  s/n,Bailén,Bailén,Jaén,23710,953609507,SEC-CFGM-EE,,CBI
23700840,Instituto de Educación Secundaria,María Bellido,Público,C/ Juan Salcedo Guillén  s/n,Bailén,Bailén,Jaén,23710,953609535,SEC-BAC-CFGM-CFGS,,CBI
23700611,Instituto de Educación Secundaria,Bury Al-Hamma,Público,Ctra. del Rumblar  s/n,Baños de la Encina,Baños de la Encina,Jaén,23711,671535986,SEC-EE,,
23700581,Instituto de Educación Secundaria,Sierra de Segura,Público,Brr. San Isidro  s/n,Beas de Segura,Beas de Segura,Jaén,23280,953429640,SEC-BAC-CFGM-EE,,
23700621,Instituto de Educación Secundaria,Accabe,Público,C/ Alejandro Lucini  18,Bedmar,Bedmar y Garcíez,Jaén,23537,953366857,SEC,TE,CBI
23700633,Instituto de Educación Secundaria,Vera Cruz,Público,Avda. Andalucia  4,Begíjar,Begíjar,Jaén,23520,953779511,SEC-EE,TE,
23700256,Instituto de Educación Secundaria,Puerta de Arenas,Público,Avda. de Jaén  s/n,Campillo de Arenas,Campillo de Arenas,Jaén,23130,953366208,SEC-BAC-CFGM-EE,TE,
