CÃ³digo,DenominaciÃ³n,Nombre,Dependencia,Domicilio,Localidad,Municipio,Provincia,CÃ³d.Postal,TelÃ©fono,EnseÃ±anzas,Servicios,Biling
29000013,Colegio de Educación Infantil y Primaria,San Francisco de Asís,Público,C/ 1º de Mayo  9,Alameda,Alameda,Málaga,29530,952712676,INF-PRI-EE,PAC-PAM-PAE-TE,
29009041,Colegio de Educación Infantil y Primaria,Alejandro García Garrido,Público,C/ Carrión  2,Alcaucín,Alcaucín,Málaga,29711,951289962,INF-PRI-SEC-EE,PAC-PAM-PAE-TE,CBI
29000131,Colegio de Educación Infantil y Primaria,Ntra. Sra. de Monsalud,Público,C/ Federico García Lorca  s/n,Alfarnate,Alfarnate,Málaga,29194,952712915,INF-PRI-SEC-EE,PAC-PAE-TE,
29000165,Colegio de Educación Infantil y Primaria,José Gil López,Público,C/ del Río  s/n,Algarrobo,Algarrobo,Málaga,29750,951289591,INF-PRI-EE,PAC-PAM-PAE-TE,
29601847,Colegio de Educación Infantil y Primaria,Enrique Ramos Ramos,Público,C/ Buenavista  s/n,Algarrobo-Costa,Algarrobo,Málaga,29750,951289577,INF-PRI-EE,PAC-PAM-PAE,
29602025,Colegio Público Rural,Sierra del Espino,Público,C/ Pérez Jiménez  17,Algatocín,Algatocín,Málaga,29491,952159914,INF-PRI-EE,TE,
29005631,Colegio de Educación Infantil y Primaria,Algazara,Público,C/ Goleta  s/n. Urb. Retamar,Alhaurín de la Torre,Alhaurín de la Torre,Málaga,29130,951293841,INF-PRI-EE,PAC-PAM,CBI
29004250,Colegio de Educación Infantil y Primaria,Clara Campoamor,Público,Urb. Torresol  s/n,Alhaurín de la Torre,Alhaurín de la Torre,Málaga,29130,951298387,INF-PRI-EE,PAC-PAM-PAE-TE,CBI
29601628,Colegio de Educación Infantil y Primaria,Isaac Peral,Público,C/ Isaac Peral  s/n,Alhaurín de la Torre,Alhaurín de la Torre,Málaga,29130,951298659,INF-PRI-EE,PAC-PAM-PAE-TE,CBI
29000293,Colegio de Educación Infantil y Primaria,Los Manantiales,Público,Urb. Los Manantiales  s/n,Alhaurín de la Torre,Alhaurín de la Torre,Málaga,29130,951298692,INF-PRI-EE,PAC-PAM-PAE-TE,CBI
29008875,Colegio de Educación Infantil y Primaria,Maruja Mallo,Público,C/ Nelson Mandela  s/n. Urb. Taralpe,Alhaurín de la Torre,Alhaurín de la Torre,Málaga,29130,671595236,INF-PRI-EE,PAC-PAM-PAE-TE,
29602281,Colegio de Educación Infantil y Primaria,San Juan,Público,C/ Granada  15,Alhaurín de la Torre,Alhaurín de la Torre,Málaga,29130,951298679,INF-PRI-EE,PAC-PAM-PAE,
29009314,Colegio de Educación Infantil y Primaria,San Sebastián,Público,C/ Juan Carlos I  s/n,Alhaurín de la Torre,Alhaurín de la Torre,Málaga,29130,951297992,INF-PRI-EE,PAC-PAM-PAE,CBF-CBI
29602499,Colegio de Educación Infantil y Primaria,Zambrana,Público,C/ Aljarafe  s/n. Bda. Ermita del Cerro,Alhaurín de la Torre,Alhaurín de la Torre,Málaga,29130,951297971,INF-PRI-EE,PAC-PAM-PAE-TE,CBI
29000505,Colegio de Educación Infantil y Primaria,El Chorro,Público,C/ Molinos de Arriba  175,Alhaurín el Grande,Alhaurín el Grande,Málaga,29120,951269924,INF-PRI-EE,PAC-PAM-PAE,
29000402,Colegio de Educación Infantil y Primaria,Emilia Olivares,Público,Ctra. de Málaga  s/n,Alhaurín el Grande,Alhaurín el Grande,Málaga,29120,951269921,INF-PRI-EE,PAC-PAM-PAE,CBI
29602402,Colegio de Educación Infantil y Primaria,Félix Plaza Ramos,Público,Finca La Gaseosa  s/n,Alhaurín el Grande,Alhaurín el Grande,Málaga,29120,951269849,INF-PRI-EE,PAC-PAM-PAE-TE,CBI
29011771,Colegio de Educación Infantil y Primaria,Jorge Guillén,Público,C/ Monseñor Romero  2,Alhaurín el Grande,Alhaurín el Grande,Málaga,29120,951267502,INF-PRI-EE,PAC-PAM-PAE,CBI
29009326,Colegio de Educación Infantil y Primaria,Pablo Ruiz Picasso,Público,C/ Albaicín  s/n,Alhaurín el Grande,Alhaurín el Grande,Málaga,29120,951269810,INF-PRI-EE,PAC-PAM-PAE,
29010249,Colegio de Educación Infantil y Primaria,Salvador González Cantos,Público,C/ Campillos  s/n,Alhaurín el Grande,Alhaurín el Grande,Málaga,29120,951267500,INF-PRI-EE,PAC-PAM-PAE,
29000530,Colegio de Educación Infantil y Primaria,La Parra,Público,C/ Polideportivo  8,Almáchar,Almáchar,Málaga,29718,951289915,INF-PRI-SEC-EE,PAC-PAM-PAE,
29000542,Colegio de Educación Infantil y Primaria,Maestro José Durán,Público,C/ Corredera  s/n,Almargen,Almargen,Málaga,29330,952169510,INF-PRI-SEC-EE,PAC-PAM-PAE,
29008346,Colegio de Educación Infantil y Primaria,Juan Paniagua,Público,Ctra. Almayate-Cádiz  s/n,Almayate Alto,Vélez-Málaga,Málaga,29749,951289930,INF-PRI-EE,PAC-PAM-PAE-TE,
29010894,Colegio de Educación Infantil y Primaria,Miguel Hernández,Público,Cuesta Campanillas  nº 6  Los Núñez  Arroyo de los Olivos,Almogía,Almogía,Málaga,29150,697952642,INF-PRI,PAC,
