CÃ³digo,DenominaciÃ³n,Nombre,Dependencia,Domicilio,Localidad,Municipio,Provincia,CÃ³d.Postal,TelÃ©fono,EnseÃ±anzas,Servicios,Biling
29701209,Instituto de Educación Secundaria,Jacobo Orellana Garrido,Público,C/ Miguel Hernández  s/n,Alameda,Alameda,Málaga,29530,952712712,SEC,PAC-TE,
29700680,Instituto de Educación Secundaria,Trayamar,Público,C/ Trayamar  s/n,Algarrobo,Algarrobo,Málaga,29750,951289584,SEC-BAC,TE,
29000311,Instituto de Educación Secundaria,Valle del Genal,Público,C/ Los Hoyos  s/n,Algatocín,Algatocín,Málaga,29491,952159900,SEC,TE,
29000062,Instituto de Educación Secundaria,Capellanía,Público,C/ Zarzuela  s/n,Alhaurín de la Torre,Alhaurín de la Torre,Málaga,29130,951293853,SEC-BAC-EE,TE,CBI
29008802,Instituto de Educación Secundaria,Galileo,Público,C/ Amadeo Vives  10,Alhaurín de la Torre,Alhaurín de la Torre,Málaga,29130,951293691,SEC-EE,PAC,CBI
29700114,Instituto de Educación Secundaria,Gerald Brenan,Público,C/ Isaac Peral  s/n,Alhaurín de la Torre,Alhaurín de la Torre,Málaga,29130,951298313,SEC-BAC-CFGM-EE-CFGS,TE,CBI
29701210,Instituto de Educación Secundaria,Huerta Alta,Público,Avda. Las Malagueñas  s/n. Urb. Huerta Alta,Alhaurín de la Torre,Alhaurín de la Torre,Málaga,29130,951298685,SEC-BAC-CFGM-CFGS,TE,CBI
29000529,Instituto de Educación Secundaria,Antonio Gala,Público,C/ Giner de los Ríos  s/n,Alhaurín el Grande,Alhaurín el Grande,Málaga,29120,951269928,SEC-BAC-CFGM-EE-CFGS,PAC-TE,
29700692,Instituto de Educación Secundaria,Fuente Lucena,Público,C/ Fuente Lucena  15,Alhaurín el Grande,Alhaurín el Grande,Málaga,29120,951267506,SEC-BAC-EE,TE,CBI
29700989,Instituto de Educación Secundaria,Diego Gaitán,Público,C/ Rehoyada  s/n,Almogía,Almogía,Málaga,29150,951298929,SEC,TE,
29000694,Instituto de Educación Secundaria,Las Flores,Público,Avda. de la Constitución  s/n. Puente de la Cabeza,Álora,Álora,Málaga,29500,951269668,SEC-BAC,PAC-TE,CBI
29011229,Instituto de Educación Secundaria,Valle del Sol,Público,Avda. Pablo Ruiz Picasso  s/n,Álora,Álora,Málaga,29500,951268524,SEC-BAC-CFGM-EE,PAC-PAE-TE,CBI
29700618,Instituto de Educación Secundaria,Serranía,Público,C/ Severo Ochoa  s/n,Alozaina,Alozaina,Málaga,29567,951269676,SEC-BAC-CFGM-EE,PAC-PAE-TE,
29012052,Instituto de Educación Secundaria,Los Colegiales,Público,Paseo de los Colegiales  s/n,Antequera,Antequera,Málaga,29200,952712500,SEC-BAC-CFGM-CFGS,TE,
29001145,Instituto de Educación Secundaria,Pedro Espinosa,Público,C/ Carrera  12,Antequera,Antequera,Málaga,29200,952712963,SEC-BAC-CFGM-CFGS,TE,CBI
29010857,Instituto de Educación Secundaria,Pintor José María Fernández,Público,Ctra. Carretera de Málaga  8,Antequera,Antequera,Málaga,29200,952712991,SEC-BAC-CFGM-EE-CFGS,TE,CBI
29010869,Instituto de Educación Secundaria,José Navarro y Alba,Público,Avda. Pablo Picasso  s/n,Archidona,Archidona,Málaga,29300,671538608,SEC-BAC-CFGM,PAC-TE,
29001421,Instituto de Educación Secundaria,Luis Barahona de Soto,Público,C/ Carrera  37,Archidona,Archidona,Málaga,29300,952712680,SEC-BAC,PAC-TE,
29700606,Instituto de Educación Secundaria,Escultor Marín Higuero,Público,C/ Marqués de Moctezuma  s/n,Arriate,Arriate,Málaga,29350,600145148,SEC,TE,
29009892,Instituto de Educación Secundaria,Al-Baytar,Público,Avda. Erasa  s/n. Urb. Béjar,Arroyo de la Miel-Benalmádena Costa,Benalmádena,Málaga,29639,951293825,SEC-BAC-CFGM-CFGS,PAC,CBI
29012064,Instituto de Educación Secundaria,Arroyo de la Miel,Público,Avda. Inmaculada Concepción  s/n,Arroyo de la Miel-Benalmádena Costa,Benalmádena,Málaga,29631,951297980,SEC-BAC-CFGM-EE-CFGS,,CBI
29006945,Instituto de Educación Secundaria,Benalmádena,Público,Avda. Cibeles  4,Arroyo de la Miel-Benalmádena Costa,Benalmádena,Málaga,29630,951293582,SEC,PAC-TE,CBI
29700621,Instituto de Educación Secundaria,Cerro del Viento,Público,Avda. del Cerro del Viento  11,Arroyo de la Miel-Benalmádena Costa,Benalmádena,Málaga,29630,951298727,SEC-BAC-CFGM-CFGS,TE,CBI
29701222,Instituto de Educación Secundaria,Poetas Andaluces,Público,Avda. Medina Azahara  s/n,Arroyo de la Miel-Benalmádena Costa,Benalmádena,Málaga,29631,951298706,SEC-EE,PAC,
29011953,Instituto de Educación Secundaria,La Maroma,Público,C/ Zona La Loma,Benamocarra,Benamocarra,Málaga,29719,600161603,SEC,PAE-TE,
29700990,Instituto de Educación Secundaria, María Victoria Atencia,Público,Ronda del Norte 1. Santa Rosalía,Campanillas,Málaga,Málaga,29591,951293808,SEC,,
29700011,Instituto de Educación Secundaria,Campanillas,Público,Bda. Campanillas,Campanillas,Málaga,Málaga,29590,952620947,SEC-BAC-EE,PAC-TE,
29701313,Instituto de Educación Secundaria,Torre del Prado,Público,C/ Cristobalina Fernández  8,Campanillas,Málaga,Málaga,29590,951298610,SEC,TE,
29001868,Instituto de Educación Secundaria,Camilo José Cela,Público,Avda. Familia de Pascual Duarte  4,Campillos,Campillos,Málaga,29320,952712690,SEC-BAC-CFGM-EE-CFGS,TE,CBI
29004080,Instituto de Educación Secundaria,Profesor Tomás Hormigo,Público,C/ Lomas del Retamar  s/n,Cancelada,Estepona,Málaga,29688,951270541,SEC,TE,CBI
29701003,Instituto de Educación Secundaria,Jarifa,Público,C/ Abencerraje  7,Cártama,Cártama,Málaga,29570,951269581,SEC-BAC,TE,CBI
29700631,Instituto de Educación Secundaria,Valle del Azahar,Público,C/ Pitágoras 2,Cártama,Cártama,Málaga,29580,951269502,SEC-BAC-CFGM-CFGS,TE,CBI
29701015,Instituto de Educación Secundaria,Casabermeja,Público,C/ Picasso  4,Casabermeja,Casabermeja,Málaga,29160,952712927,SEC,PAC-TE,
29007147,Instituto de Educación Secundaria,Carlos Álvarez,Público,C/ Benito Juárez  1,Churriana,Málaga,Málaga,29140,951293673,SEC-EE,PAC-TE,CBI
29700357,Instituto de Educación Secundaria,Jacaranda,Público,C/ Gaspar Sanz  1. Urb. Platero,Churriana,Málaga,Málaga,29140,951293816,SEC-BAC-CFGM-CFGS,TE,
29002332,Instituto de Educación Secundaria,Ciudad de Coín,Público,C/ Urbano Pineda  s/n,Coín,Coín,Málaga,29100,951268500,SEC-BAC-CFGM-EE-CFGS,PAC-TE,
29700928,Instituto de Educación Secundaria,Los Montecillos,Público,Ctra. de Mijas Km 1 5,Coín,Coín,Málaga,29100,951269915,SEC-BAC-CFGS,PAC-TE,CBI
29700849,Instituto de Educación Secundaria,Los Montes,Público,C/ Francisco Coalla  28,Colmenar,Colmenar,Málaga,29170,952712925,SEC,PAC-TE,
29700941,Instituto de Educación Secundaria,El Almijar,Público,Avda. Constitución  47 B,Cómpeta,Cómpeta,Málaga,29754,951289542,SEC-EE,TE,
29011734,Instituto de Educación Secundaria,Andrés Pérez Serrano,Público,Avda. de la Libertad  s/n,Cortes de la Frontera,Cortes de la Frontera,Málaga,29380,952159500,SEC-BAC-CFGM-EE-CFGS,PAC-TE,
29701027,Instituto de Educación Secundaria,Genil,Público,C/ Granada  64,Cuevas de San Marcos,Cuevas de San Marcos,Málaga,29210,952712769,SEC,,
29009107,Instituto de Educación Secundaria,Cartima,Público,C/ Van Gogh  s/n,Estación (Cártama),Cártama,Málaga,29580,951267200,SEC-EE,TE,
29009909,Instituto de Educación Secundaria,Mar de Alborán,Público,C/ Fuente de María Gil  30,Estepona,Estepona,Málaga,29680,951551096,SEC-BAC-CFGM-EE-CFGS,TE,
29700953,Instituto de Educación Secundaria,Mediterráneo,Público,C/ Melilla  20,Estepona,Estepona,Málaga,29680,951270728,SEC-BAC-EE,TE,CBF-CBI
29002885,Instituto de Educación Secundaria,Monterroso,Público,Avda. Santo Tomás de Aquino  s/n,Estepona,Estepona,Málaga,29680,951270583,SEC-BAC-CFGM-CFGS,TE,CBI
29009119,Instituto de Educación Secundaria,Puerta del Mar,Público,C/ Eslovaquia S/N,Estepona,Estepona,Málaga,29680,671595405,SEC-EE,TE,
29011311,Instituto de Educación Secundaria,Eduardo Janeiro,Público,C/ Enebro  s/n,Fuengirola,Fuengirola,Málaga,29640,951268801,SEC-BAC-EE,PAC,CBI
29003041,Instituto de Educación Secundaria,Fuengirola Nº 1,Público,Cmo. Camino de Santiago  3,Fuengirola,Fuengirola,Málaga,29640,951269967,SEC-BAC-CFGM-CFGS,,
29701416,Instituto de Educación Secundaria,Las Salinas,Público,C/ Domingo Ortega  24,Fuengirola,Fuengirola,Málaga,29640,951269890,SEC-BAC,PAC-PAE-TE,CBI
29700497,Instituto de Educación Secundaria,Los Boliches,Público,C/ Frascuelo  s/n,Fuengirola,Fuengirola,Málaga,29640,951269910,SEC-BAC-CFGM-CFGS,,
29701428,Instituto de Educación Secundaria,Mercedes Labrador,Público,C/ Feria de Abril  s/n,Fuengirola,Fuengirola,Málaga,29640,952666379,SEC-EE,TE,
29009910,Instituto de Educación Secundaria,Santiago Ramón y Cajal,Público,C/ Doctor García Verdugo  1,Fuengirola,Fuengirola,Málaga,29640,951269821,SEC-BAC-CFGM-EE-CFGS,PAC-TE,CBI
29701039,Instituto de Educación Secundaria,José Saramago,Público,C/ Francisco Giner de los Ríos  1,Humilladero,Humilladero,Málaga,29531,952712544,SEC,PAC-TE,
29700369,Instituto de Educación Secundaria,Ben Al Jatib,Público,C/ Sorolla  38,La Cala del Moral,Rincón de la Victoria,Málaga,29720,951293501,SEC-BAC-EE,TE,CBI
29002733,Instituto de Educación Secundaria,Puerta de la Axarquía,Público,Paseo  de Filipinas  2,La Cala del Moral,Rincón de la Victoria,Málaga,29720,951298322,SEC,TE,CBI
29019320,Instituto de Educación Secundaria,Ana Carmona "Veleta",Público,C/ Vicente Aleixandre,Las Lagunas,Mijas,Málaga,29640,629270119,SEC-BAC,PAC-TE,
29700709,Instituto de Educación Secundaria,Las Lagunas,Público,Cmo. del Albero  18,Las Lagunas,Mijas,Málaga,29650,951269881,SEC-BAC,PAC-TE,CBI
29007329,Instituto de Educación Secundaria,Vega de Mijas,Público,C/ Don Antonio García Moreno  5,Las Lagunas,Mijas,Málaga,29651,951268758,SEC-BAC-CFGM-EE-CFGS,PAC-PAE-TE,CBI
29010201,Instituto de Educación Secundaria,Belén,Público,Avda. Isaac Peral  16,Málaga,Málaga,Málaga,29004,951298425,SEC-BAC-CFGM-CFGS,PAC,
29012076,Instituto de Educación Secundaria,Ben Gabirol,Público,C/ Agustín Martín Carrión  6,Málaga,Málaga,Málaga,29006,951298509,SEC-BAC-CFGM-CFGS,PAE,
29005977,Instituto de Educación Secundaria,Cánovas del Castillo,Público,C/ San Millán  s/n,Málaga,Málaga,Málaga,29013,951298512,SEC-BAC-CFGM-EE-CFGS,,CBF-CBI
29701118,Instituto de Educación Secundaria,Carlinda,Público,C/ Hipócrates  s/n,Málaga,Málaga,Málaga,29010,951298471,SEC-EE,PAC-TE,
29701350,Instituto de Educación Secundaria,Christine Picasso,Público,C/ Rachmaninov  4,Málaga,Málaga,Málaga,29002,951298604,SEC,,CBF
29701106,Instituto de Educación Secundaria,Ciudad de Melilla,Público,C/ Salvador Tomasetti  s/n,Málaga,Málaga,Málaga,29003,600160727,SEC,TE,
29700795,Instituto de Educación Secundaria,Ciudad Jardín,Público,C/ Jerez Perchet  36,Málaga,Málaga,Málaga,29014,951293535,SEC-BAC-CFGM-CFGS,,
29009922,Instituto de Educación Secundaria,El Palo,Público,Cmo. Viejo de Vélez  s/n,Málaga,Málaga,Málaga,29018,951298521,SEC-BAC-CFGM-EE-CFGS,PAC-PAE-TE,CBI
29009260,Instituto de Educación Secundaria,Emilio Prados,Público,C/ Luis Barahona de Soto  16,Málaga,Málaga,Málaga,29004,951298484,SEC-BAC-EE,PAC,CBI
29700503,Instituto de Educación Secundaria,Fernando de los Ríos,Público,C/ Ntra. Sra. de las Candelas  15,Málaga,Málaga,Málaga,29004,951298439,SEC-BAC-CFGM-EE-CFGS,PAC-PAE-TE,CBI
29701091,Instituto de Educación Secundaria,Guadalmedina,Público,Avda. La Palmilla  22,Málaga,Málaga,Málaga,29011,951298482,SEC,PAC,
29011539,Instituto de Educación Secundaria,Huelin,Público,C/ Tomás Echeverria  2,Málaga,Málaga,Málaga,29002,951298494,SEC-BAC,PAC-PAE,CBI
29701040,Instituto de Educación Secundaria,Isaac Albéniz,Público,C/ Corregidor Francisco Molina  20,Málaga,Málaga,Málaga,29006,951297973,SEC-EE,,
29701088,Instituto de Educación Secundaria,Jardín de Málaga,Público,C/ Marqués de Mantua  11,Málaga,Málaga,Málaga,29014,951298653,SEC,,CBI
29700527,Instituto de Educación Secundaria,Jardines de Puerta Oscura,Público,C/ Mirazucena  s/n. Miraflores de los Ángeles,Málaga,Málaga,Málaga,29011,951297939,SEC-BAC-CFGM-CFGS,,
29701234,Instituto de Educación Secundaria,José María Torrijos,Público,Psje. Alcalde Joaquín Alonso  3,Málaga,Málaga,Málaga,29003,951297950,SEC,PAC,CBI
29701076,Instituto de Educación Secundaria,Juan Ramón Jiménez,Público,C/ Fernández Fermina  17,Málaga,Málaga,Málaga,29006,951298845,SEC,,CBI
29005916,Instituto de Educación Secundaria,La Rosaleda,Público,Avda. Luis Buñuel  8,Málaga,Málaga,Málaga,29011,952640035,SEC-BAC-CFGM-CFGS,TE,CBI
29700096,Instituto de Educación Secundaria,Litoral,Público,Avda. Los Guindos  46,Málaga,Málaga,Málaga,29004,951298400,SEC-BAC-CFGM-CFGS,PAC-PAE-TE,CBI
29701246,Instituto de Educación Secundaria,Manuel Alcántara,Público,C/ Peso de la Harina  12,Málaga,Málaga,Málaga,29007,951298454,SEC-BAC-EE,PAC-PAE-TE,
