CÃ³digo,DenominaciÃ³n,Nombre,Dependencia,Domicilio,Localidad,Municipio,Provincia,CÃ³d.Postal,TelÃ©fono,EnseÃ±anzas,Servicios,Biling
41000016,Colegio de Educación Infantil y Primaria,Maestro José Páez Moriana,Público,C/ Santa Ana  S/N,Aguadulce,Aguadulce,Sevilla,41550,954822535,INF-PRI-SEC-EE,PAC-PAE,
41000028,Colegio de Educación Infantil y Primaria,Alanís,Público,C/ Granada  s/n,Alanís,Alanís,Sevilla,41380,955889900,INF-PRI-SEC-EE,PAC-PAM-PAE,
41008891,Colegio de Educación Infantil y Primaria,San Sebastián,Público,C/ Virgen del Rocío  esquina C/ Juan Ramón Jiménez,Albaida del Aljarafe,Albaida del Aljarafe,Sevilla,41809,955623335,INF-PRI-EE,PAC-PAM-PAE,CBI
41000031,Colegio de Educación Infantil y Primaria,Santa Teresa,Público,C/ Soleá  s/n,Albaida del Aljarafe,Albaida del Aljarafe,Sevilla,41809,955622882,INF-PRI-EE,PAC-PAM-PAE,CBI
41000296,Colegio de Educación Infantil y Primaria,Alcalde Joaquín García,Público,C/ Escultor Esteban Domínguez  s/n,Alcalá de Guadaíra,Alcalá de Guadaíra,Sevilla,41500,955622736,INF-PRI-EE,PAC-PAM-PAE,
41000181,Colegio de Educación Infantil y Primaria,Ángeles Martín Mateo,Público,Bda. de la Liebre  s/n,Alcalá de Guadaíra,Alcalá de Guadaíra,Sevilla,41500,955623285,INF-PRI-EE,PAC-PAM-PAE-TE,
41000156,Colegio de Educación Infantil y Primaria,Antonio Machado,Público,C/ Francisco Calatrava Jurado  2,Alcalá de Guadaíra,Alcalá de Guadaíra,Sevilla,41500,955622665,INF-PRI-EE,PAC-PAM-PAE,
41018860,Colegio de Educación Infantil y Primaria,Antonio Rodríguez Almodóvar,Público,C/ Ana María Matute  s/n,Alcalá de Guadaíra,Alcalá de Guadaíra,Sevilla,41500,955035663,INF-PRI-EE,PAC-PAM-PAE,
41602119,Colegio de Educación Infantil y Primaria,Blas Infante,Público,Avda. Antonio Mairena  s/n,Alcalá de Guadaíra,Alcalá de Guadaíra,Sevilla,41500,955622130,INF-PRI-EE,PAC-PAM-PAE,CBI
41000065,Colegio de Educación Infantil y Primaria,Cervantes,Público,Plaza Doctor Fléming  s/n,Alcalá de Guadaíra,Alcalá de Guadaíra,Sevilla,41500,955622348,INF-PRI-EE,PAC-PAM-PAE,
