CÃ³digo,DenominaciÃ³n,Nombre,Dependencia,Domicilio,Localidad,Municipio,Provincia,CÃ³d.Postal,TelÃ©fono,EnseÃ±anzas,Servicios,Biling
41700105,Instituto de Educación Secundaria,Albero,Público,Avda. Tren de los Panaderos  13,Alcalá de Guadaíra,Alcalá de Guadaíra,Sevilla,41500,955622292,SEC-BAC-CFGM,,CBI
41000284,Instituto de Educación Secundaria,Al-Guadaira,Público,Avda. 28 de Febrero  s/n,Alcalá de Guadaíra,Alcalá de Guadaíra,Sevilla,41500,955622641,SEC-BAC-CFGM-CFGS,,CBI
41000272,Instituto de Educación Secundaria,Cristóbal de Monroy,Público,Avda. de la Constitución  s/n,Alcalá de Guadaíra,Alcalá de Guadaíra,Sevilla,41500,954100911,SEC-BAC-CFGM-CFGS,,CBI
41701547,Instituto de Educación Secundaria,Doña Leonor de Guzmán,Público,Avda. de las Rosas  s/n,Alcalá de Guadaíra,Alcalá de Guadaíra,Sevilla,41500,955623312,SEC-CFGM-EE,PAE,
41021627,Instituto de Educación Secundaria,Hienipa,Público,Avda. Calle Zuloaga  s/n,Alcalá de Guadaíra,Alcalá de Guadaíra,Sevilla,41500,620901928,SEC-BAC-EE,,CBI
41011014,Instituto de Educación Secundaria,Profesor Tierno Galván,Público,C/ Reyes Católicos  s/n,Alcalá de Guadaíra,Alcalá de Guadaíra,Sevilla,41500,697952944,SEC-BAC-CFGM-CFGS,TE,CBI
41011002,Instituto de Educación Secundaria,Ilipa Magna,Público,Avda. de Andalucía  s/n,Alcalá del Río,Alcalá del Río,Sevilla,41200,955623330,SEC-BAC-CFGM-EE-CFGS,TE,CBI
41701808,Instituto de Educación Secundaria,Las Aceñas,Público,C/ Madrid  26,Alcolea del Río,Alcolea del Río,Sevilla,41449,955649698,SEC,TE,
41017685,Instituto de Educación Secundaria,Almensilla,Público,C/ Avenida de la Solidaridad  s/n,Almensilla,Almensilla,Sevilla,41111,954786288,SEC,,CBI
41000557,Instituto de Educación Secundaria,Al-Ándalus,Público,C/ Dalia  s/n,Arahal,Arahal,Sevilla,41600,955967943,SEC-BAC-CFGM-CFGS,PAC-TE,CBI
41701559,Instituto de Educación Secundaria,Europa,Público,Avda. Santísima Trinidad  s/n,Arahal,Arahal,Sevilla,41600,955967858,SEC-CFGM-EE-CFGS,PAC-TE,CBI
41000569,Instituto de Educación Secundaria,La Campiña,Público,Avda. de la Campiña,Arahal,Arahal,Sevilla,41600,955967850,SEC-BAC-CFGM-CFGS,TE,
41701641,Instituto de Educación Secundaria,Olontigi,Público,C/ Santa María del Aljarafe  s/n,Aznalcázar,Aznalcázar,Sevilla,41849,671534650,SEC,,CBI
41702175,Instituto de Educación Secundaria,Aznalcóllar,Público,C/ La Cruz  92,Aznalcóllar,Aznalcóllar,Sevilla,41870,955739965,SEC-EE,TE,CBI
41701316,Instituto de Educación Secundaria,Vadus Latus,Público,Bda.  San Plácido  s/n,Badolatosa,Badolatosa,Sevilla,41570,954822864,SEC,PAC-TE,
41701201,Instituto de Educación Secundaria,Virgen del Rosario,Público,Avda. de Sanlúcar la Mayor  s/n,Benacazón,Benacazón,Sevilla,41805,955656911,SEC-EE,TE,
41701730,Instituto de Educación Secundaria,Alminar,Público,C/ Tequila  1,Bollullos de la Mitación,Bollullos de la Mitación,Sevilla,41110,955624524,SEC-BAC,,
41011464,Instituto de Educación Secundaria,Juan Ciudad Duarte,Público,C/ San Pedro  s/n,Bormujos,Bormujos,Sevilla,41930,955624377,SEC-BAC-CFGM-CFGS,,CBI
41701821,Instituto de Educación Secundaria,Los Álamos,Público,C/ Clara Campoamor  s/n,Bormujos,Bormujos,Sevilla,41930,955622355,SEC-BAC-EE,TE,CBI
41700853,Instituto de Educación Secundaria,Jacarandá,Público,C/ Diamantino García  s/n,Brenes,Brenes,Sevilla,41310,955622585,SEC-BAC-CFGM-EE-CFGS,PAE-TE,CBI
41700971,Instituto de Educación Secundaria,Burguillos,Público,C/ Albahaca  s/n,Burguillos,Burguillos,Sevilla,41220,955739585,SEC-BAC-CFGM-EE,TE,
41009573,Instituto de Educación Secundaria,Camas-Antonio Brisquet,Público,Avda. Alcalde Manuel Cabello s/n,Camas,Camas,Sevilla,41900,955622545,SEC-BAC-CFGM-CFGS,PAC-TE,
41000880,Instituto de Educación Secundaria,Tartessos,Público,Bda. Hiconsa  s/n,Camas,Camas,Sevilla,41900,955623193,SEC-BAC-CFGM-CFGS,TE,CBI
